t_s,est_n_m,est_e_m,est_vn_mps,est_ve_mps,est_bax_mps2,est_bay_mps2,height_used_m,flow_vn_mps,flow_ve_mps,flow_valid,flow_reason,safety_mode,warnings,innov_vn_mps,innov_ve_mps,true_n_m,true_e_m,true_vn_mps,true_ve_mps,true_alt_m,of_quality,texture_class
0.0,0.0,0.0,-0.004345011633563738,0.09762826064632557,0.0,0.0,1.054296101779632,-0.005178788683107013,0.11636243444805863,1,OK,OP_VALID,,-0.005178788683107013,0.11636243444805863,0.0,0.001,0.0,0.1,1.05,232.03682370795852,textured_floor
0.01,-4.3595040097723886e-05,0.000977123519555813,-0.0043739963859810395,0.09779644326483698,0.0,0.0,1.0470632277308494,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,8.028457764131412e-06,0.0020022810508158,0.0008028457764131,0.100228105081581,1.0504383002848947,,textured_floor
0.02,-8.031552262293085e-05,0.0019509402927446152,-0.0029701001190603525,0.09696691137292343,0.0,0.0,1.0428411153011508,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,2.4085032526379804e-05,0.0030068356150961,0.0016056574762248,0.1004554564280332,1.0508765852031874,,textured_floor
0.03,-0.0001022408768289453,0.002925790242314898,-0.0014149707221425406,0.0980030785411331,0.0,0.0,1.0533114948835416,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,4.816904277591891e-05,0.0040136560810307,0.0024084010249539,0.1006820465934626,1.0513148393891762,,textured_floor
0.04,0.00046744492973477595,0.003832296317828057,0.01253123065871962,0.09814595333315687,-0.00022793817212309343,3.3034952777642775e-05,1.0529980953882823,0.03865656598263326,0.094373334519463,1,OK,OP_VALID,,0.04083082468477204,-0.005896159244448362,8.027946629951446e-05,0.005022734762411,0.0032110423523595,0.1009078681380313,1.051753047478959,215.4637165423053,textured_floor
0.05,0.0005915747876205875,0.004816107900942743,0.0122947409184427,0.09861636328978032,-0.00022793817212309343,3.3034952777642775e-05,1.0365011803204423,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0001204149402451,0.006034063898693,0.0040135473945611,0.1011329136282,1.052191194111333,,textured_floor
0.06,0.0007190649636766757,0.005800150095289446,0.013203294292774947,0.09819207557956038,-0.00022793817212309343,3.3034952777642775e-05,1.0616554518878982,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0001685737612067,0.0070476356550627,0.0048158820961577,0.1013571756369713,1.0526292639286954,,textured_floor
0.07,0.0008538756425793507,0.0067723481577884595,0.013758841487760015,0.09624753692024203,-0.00022793817212309343,3.3034952777642775e-05,1.070407954644708,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0002247538853301,0.0080634421225041,0.0056180124123466,0.1015806467441326,1.0530672415779407,,textured_floor
0.08,0.0011816939254117441,0.008637787546844702,0.016889155424145885,0.10638591007615249,-0.0003208246367965915,-0.0004180962040475828,1.0664065807846625,0.02185571683786453,0.1306321571204466,1,OK,OP_VALID,,0.00730254103655106,0.03565026167485602,0.0002889529284405,0.0090814753178691,0.0064199043110418,0.1018033195364989,1.0535051117113623,227.151112355016,textured_floor
0.09,0.0013511936993691465,0.009708288049410856,0.017010799367334604,0.10771419043707826,-0.0003208246367965915,-0.0004180962040475828,1.0586657234846024,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0003611681661904,0.0101017271839506,0.0072215237749907,0.1020251866081558,1.05394285898755,,textured_floor
0.1,0.001528858972574591,0.01078174463737062,0.018522255273754302,0.10697712715487426,-0.0003208246367965915,-0.0004180962040475828,1.0476352689147195,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0004413965342294,0.0111241895895576,0.0080228368038908,0.1022462405607017,1.054380468072288,,textured_floor
0.11,0.0017212264305443061,0.011850459712828245,0.019951236320188723,0.10676588793665098,-0.0003208246367965915,-0.0004180962040475828,1.0567509401596638,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0005296346283944,0.0121488543295926,0.0088238094165045,0.1024664740034911,1.0548179236394537,,textured_floor
0.12,0.0005417640663139549,0.01284402019030207,0.009190724025517584,0.10672559704947707,0.0005445849437512826,-0.00037118728597333907,1.0532844378111252,-0.02432596442301005,0.10485654132412263,1,OK,OP_VALID,,-0.04513460772069192,-0.002516928159580503,0.0006258787049221,0.0131757131251313,0.0096244076527727,0.1026858795538763,1.0552552103719144,229.55425409315885,textured_floor
0.13,0.0006421493439345041,0.013917626672516071,0.010886331498592238,0.1079956993933229,0.0005445849437512826,-0.00037118728597333907,1.0575557275557015,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0007301246806814,0.0142047576235058,0.0104245975759271,0.1029044498374504,1.0556923129624252,,textured_floor
0.14,0.0007568685767098846,0.014997195803247935,0.012057515056483826,0.10791812675304994,0.0005445849437512826,-0.00037118728597333907,1.0701674458039971,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0008423681334274,0.0152359793983887,0.0112243452746013,0.1031221774882888,1.0561292161145244,,textured_floor
0.15,0.0008779936388684884,0.016075148648960487,0.012167497375236997,0.10767244238946086,0.0005445849437512826,-0.00037118728597333907,1.0549465927971071,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0009626043020768,0.0162693699498806,0.012023616864939,0.1033390551491922,1.0565659045434292,,textured_floor
0.16,0.00040547712966818483,0.017791095482258865,0.009453000109479503,0.11186217792833991,0.0010019065103560139,-0.0008602290858468814,1.0294593600571493,-0.00791674115622262,0.13035832531527833,1,OK,OP_VALID,,-0.02117512627264978,0.022548306879465227,0.0010908280870038,0.0173049207045999,0.0128223784927016,0.1035550754719277,1.0570023629769318,221.7871879974999,textured_floor
0.17,0.0005001359784947249,0.018907609905663297,0.009478769655828473,0.11144070675254608,0.0010019065103560139,-0.0008602290858468814,1.0694243077420593,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0012270340503575,0.0183426230157746,0.013620596335373,0.1037702311174709,1.0574385761562917,,textured_floor
0.18,0.0006023994967974659,0.02002014693404986,0.010973934004719773,0.1110666989247669,0.0010019065103560139,-0.0008602290858468814,1.0638288655139423,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0013712164164002,0.0193824681633371,0.0144182366042623,0.1039845147562477,1.0578745288371298,,textured_floor
0.19,0.0007158840497685384,0.021132868462379252,0.01172297658949472,0.11147760674111099,0.0010019065103560139,-0.0008602290858468814,1.0605574785018168,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0015233690718662,0.0204244473540208,0.0152152655466046,0.1041979190683755,1.0583102057903218,,textured_floor
0.2,0.0014047991683105345,0.02358711117119925,0.015280969861687924,0.118572514713965,0.0004895449535853246,-0.0020576138280504,1.0411413835303436,0.029811414561447286,0.15278072445787366,1,OK,OP_VALID,,0.017447139244566392,0.04107481987245658,0.0016834855663428,0.0214685517214599,0.0160116494476589,0.1044104367439044,1.0587455918028883,226.08066407808684,textured_floor
0.21,0.0015588201675385304,0.02478180977248561,0.015523229983911308,0.1203672055433076,0.0004895449535853246,-0.0020576138280504,1.0467041247883515,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0018515591126708,0.0225147723262905,0.0168073546328032,0.1046220604830587,1.0591806716788856,,textured_floor
0.22,0.0017229037360405829,0.025987713691669963,0.017293483716499143,0.12081357829356276,0.0004895449535853246,-0.0020576138280504,1.0488917781135108,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0020275825873671,0.0235631001562553,0.017602347469628,0.1048327829964773,1.0596154302402965,,textured_floor
0.23,0.001899164897755377,0.027200900906496905,0.017958748626459662,0.12182386467182575,0.0004895449535853246,-0.0020576138280504,1.0513002367115893,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0022115485310674,0.0246135261263098,0.0183965943700251,0.1050425970054548,1.0600498523279156,,textured_floor
0.24,0.0034582634890949647,0.027377786389176487,0.02438637622512694,0.11655434818148196,-0.0009198925816087853,-0.0009887782317647327,1.053137237331181,0.05727116756219248,0.09178181401457988,1,OK,OP_VALID,,0.03885821607694184,-0.029272391470092987,0.0024034491489901,0.0256660410787316,0.019190061792275,0.1052514952421819,1.060483922802241,228.93880019233632,textured_floor
0.25,0.0037047386254183004,0.02854581078808628,0.024908651039540215,0.1170505316004764,-0.0009198925816087853,-0.0009887782317647327,1.043204183982938,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0026032763114214,0.0267206357832315,0.0199827162431303,0.1054594704499853,1.0609176265443552,,textured_floor
0.26,0.00395999711384919,0.02971381852465307,0.02614304664663778,0.11655101571288075,-0.0009198925816087853,-0.0009887782317647327,1.0936029951599693,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0028110215542204,0.0277773009370672,0.0207745242798959,0.1056665153835683,1.0613509484568142,,textured_floor
0.27,0.004226904324522134,0.030881296839391042,0.027238395487950977,0.11694464723471337,-0.0009198925816087853,-0.0009887782317647327,1.0842991634740955,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0030266760793454,0.0288360271651597,0.0215654525125056,0.1058726228092505,1.0617838734645282,,textured_floor
0.28,0.004705756936879312,0.03153794332249318,0.02912993558001758,0.1156181624385822,-0.0011497888228647556,-0.0003915135025739035,1.0663708406440153,0.03802855299648288,0.09275610950103766,1,OK,OP_VALID,,0.009659135032443068,-0.024815951299805544,0.0032502307554014,0.0298968050202117,0.0223554676055956,0.1060777855052069,1.0622163865156449,201.53602086391092,textured_floor
0.29,0.00500280621876726,0.032694673712142366,0.030279920797572323,0.11572791549125554,-0.0011497888228647556,-0.0003915135025739035,1.0621439825835122,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0034816761182071,0.0309596249828288,0.0231445362805736,0.1062819962617079,1.0626484725824288,,textured_floor
0.3,0.00531813629158044,0.0338619690711747,0.03278609376506349,0.1177311563152097,-0.0011497888228647556,-0.0003915135025739035,1.0904576788729792,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.003721002371384,0.0320244774616424,0.0239326253176846,0.1064852478813579,1.0630801166621429,,textured_floor
0.31,0.005648354827304285,0.03504531151948854,0.0332576133797055,0.11893733334755947,-0.0011497888228647556,-0.0003915135025739035,1.0878493910641724,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0039681993869647,0.0330913527934357,0.0247197015580719,0.1066875331793344,1.0635113037779227,,textured_floor
0.32,0.006309672409570211,0.03746152009903322,0.03475136643722727,0.12407905997179977,-0.001570141639731655,-0.0019366161486911373,1.0528517522713892,0.04626139974229688,0.1671134520571848,1,OK,OP_VALID,,0.01261671481046571,0.047172118237392174,0.004223256706023,0.034160241243272,0.0255057319058348,0.1068888449836264,1.0639420189796551,209.491717294974,textured_floor
0.33,0.006657941543976725,0.038705742813504404,0.0349024604440755,0.1247654829224385,-0.001570141639731655,-0.0019366161486911373,1.0680845116677986,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0044861635393239,0.0352311330046247,0.0262906833300815,0.1070891761352728,1.0643722473448511,,textured_floor
0.34,0.007013407220358937,0.03996086035370383,0.036190674832366834,0.12625802511744633,-0.001570141639731655,-0.0019366161486911373,1.0620680576625634,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0047569087679936,0.0363040181995107,0.0270745228669776,0.1072885194886002,1.0648019739795205,,textured_floor
0.35,0.007383892738214996,0.041218112646948975,0.03790642873884523,0.12519243353158388,-0.001570141639731655,-0.0019366161486911373,1.0611941194982992,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0050354809442115,0.0373788868786253,0.0278572176217898,0.1074868679114607,1.0652311840190396,,textured_floor
0.36,0.00719087832570085,0.042632309104749015,0.03683371222844646,0.12684719211818166,-0.0007860198347666708,-0.002153725858712912,1.0631797996382673,0.017008838074142326,0.13223392251368873,1,OK,OP_VALID,,-0.021601642795668795,0.005869506405671299,0.0053218682919208,0.03845572902148,0.0286387347709252,0.1076842142854692,1.0656598626290228,209.0160519818085,textured_floor
